PumpID,Pump Name,Brand,Review,Rating,City,State,Latitude,Longitude
AP024,Star Fuel,Reliance,Easy access,4.1,Rajahmundry,Andhra Pradesh,17.005,81.779
AP025,Royal Fuel Hub,Indian Oil,Good service,4,Rajahmundry,Andhra Pradesh,17.006,81.777
AP026,Nellore Fuel,HP,Quick refueling,4,Nellore,Andhra Pradesh,14.4426,79.9865
AP027,Sai Petrol,Indian Oil,Friendly staff,4.1,Nellore,Andhra Pradesh,14.443,79.987
AP028,Sunshine Fuel,Bharat Petroleum,Clean pumps,4.2,Nellore,Andhra Pradesh,14.444,79.988
AP029,Galaxy Petrol,Reliance,Easy access,4,Nellore,Andhra Pradesh,14.442,79.985
AP030,Royal Pump,Indian Oil,Smooth service,4.1,Nellore,Andhra Pradesh,14.441,79.9845
AP031,Tirupati Fuel,HP,Friendly staff,4.2,Tirupati,Andhra Pradesh,13.6288,79.4192
AP032,Sri Venkateswara Petrol,Indian Oil,Quick service,4,Tirupati,Andhra Pradesh,13.6295,79.42
AP033,Star Fuel,Bharat Petroleum,Clean & smooth,4.1,Tirupati,Andhra Pradesh,13.628,79.4185
AP034,Crystal Fuel,Reliance,Easy access,4.2,Tirupati,Andhra Pradesh,13.6275,79.4195
AP035,Royal Pump,Indian Oil,Good service,4,Tirupati,Andhra Pradesh,13.629,79.418
AP036,Anantapur Fuel,HP,Quick & clean,4.1,Anantapur,Andhra Pradesh,14.6815,77.6
AP037,Sai Fuel Station,Indian Oil,Friendly staff,4,Anantapur,Andhra Pradesh,14.682,77.601
AP038,Mega Fuel,Bharat Petroleum,Clean pumps,4.2,Anantapur,Andhra Pradesh,14.68,77.6025
AP039,Galaxy Petrol,Reliance,Easy access,4.1,Anantapur,Andhra Pradesh,14.681,77.599
AP040,Star Fuel Hub,Indian Oil,Smooth service,4,Anantapur,Andhra Pradesh,14.6825,77.6005
AP041,Kurnool Fuel,HP,Quick service,4,Kurnool,Andhra Pradesh,15.8281,78.0373
AP042,Sai Petrol Pump,Indian Oil,Friendly staff,4.1,Kurnool,Andhra Pradesh,15.829,78.036
AP043,Galaxy Fuel,Bharat Petroleum,Clean pumps,4.2,Kurnool,Andhra Pradesh,15.827,78.0385
AP044,Star Pump,Reliance,Easy access,4.1,Kurnool,Andhra Pradesh,15.8285,78.037
AP045,Royal Fuel,Indian Oil,Smooth refueling,5,Kurnool,Andhra Pradesh,15.8295,78.0365
AP046,Kadapa Fuel,HP,Quick service,4.1,Kadapa,Andhra Pradesh,14.4676,78.8242
AP047,Sai Fuel Hub,Indian Oil,Friendly staff,4,Kadapa,Andhra Pradesh,14.468,78.8235
AP048,Crystal Petrol,Bharat Petroleum,Clean pumps,4.2,Kadapa,Andhra Pradesh,14.467,78.825
AP049,Galaxy Fuel,Reliance,Easy access,4.1,Kadapa,Andhra Pradesh,14.4685,78.824
AP050,Star Pump,Indian Oil,Smooth service,4,Kadapa,Andhra Pradesh,14.4675,78.823
AP051,Ongole Fuel,HP,Quick & clean,4.1,Ongole,Andhra Pradesh,15.5057,80.0499
AP052,Star Fuel,Indian Oil,Friendly staff,4,Ongole,Andhra Pradesh,15.5065,80.0505
AP053,Galaxy Pump,Bharat Petroleum,Clean pumps,4.2,Ongole,Andhra Pradesh,15.505,80.0485
AP054,Crystal Fuel,Reliance,Easy access,4.1,Ongole,Andhra Pradesh,15.506,80.049
AP055,Royal Pump,Indian Oil,Smooth service,4,Ongole,Andhra Pradesh,15.5055,80.05
AP056,Eluru Fuel,HP,Quick service,4.1,Eluru,Andhra Pradesh,16.7107,81.0952
AP057,Sai Fuel,Indian Oil,Friendly staff,4,Eluru,Andhra Pradesh,16.711,81.096
AP058,Crystal Pump,Bharat Petroleum,Clean pumps,4.2,Eluru,Andhra Pradesh,16.71,81.094
AP059,Star Fuel,Reliance,Easy access,4.1,Eluru,Andhra Pradesh,16.7105,81.0955
AP060,Royal Fuel Hub,Indian Oil,Smooth refueling,4,Eluru,Andhra Pradesh,16.7115,81.0965
AP061,Chittoor Fuel,HP,Quick & clean,4.1,Chittoor,Andhra Pradesh,13.2172,79.1
AP062,Sai Petrol Pump,Indian Oil,Friendly staff,4,Chittoor,Andhra Pradesh,13.218,79.101
AP063,Galaxy Fuel,Bharat Petroleum,Clean pumps,4.2,Chittoor,Andhra Pradesh,13.2165,79.0995
AP064,Star Pump,Reliance,Easy access,4.1,Chittoor,Andhra Pradesh,13.2175,79.1005
AP065,Royal Fuel,Indian Oil,Smooth service,4,Chittoor,Andhra Pradesh,13.2185,79.1015
AP066,Vizianagaram Fuel,HP,Quick service,4.1,Vizianagaram,Andhra Pradesh,18.1137,83.3955
AP067,Sai Fuel,Indian Oil,Friendly staff,4,Vizianagaram,Andhra Pradesh,18.1145,83.396
AP068,Crystal Pump,Bharat Petroleum,Clean pumps,4.2,Vizianagaram,Andhra Pradesh,18.113,83.394
AP069,Galaxy Fuel,Reliance,Easy access,4.1,Vizianagaram,Andhra Pradesh,18.1135,83.395
AP070,Star Pump,Indian Oil,Smooth service,4,Vizianagaram,Andhra Pradesh,18.114,83.3965
AP071,Srikakulam Fuel,HP,Quick & clean,4.1,Srikakulam,Andhra Pradesh,18.2964,83.8941
AP072,Sai Fuel Station,Indian Oil,Friendly staff,4,Srikakulam,Andhra Pradesh,18.297,83.895
AP073,Galaxy Pump,Bharat Petroleum,Clean pumps,4.2,Srikakulam,Andhra Pradesh,18.295,83.893
AP074,Crystal Fuel,Reliance,Easy access,4.1,Srikakulam,Andhra Pradesh,18.296,83.8945
AP075,Star Fuel,Indian Oil,Smooth service,4,Srikakulam,Andhra Pradesh,18.2965,83.894
AP076,East Godavari Fuel,HP,Quick service,4.1,Rajamahendravaram,Andhra Pradesh,17,81.777
AP077,Sai Fuel,Indian Oil,Friendly staff,4,Rajamahendravaram,Andhra Pradesh,17.001,81.778
AP078,Crystal Pump,Bharat Petroleum,Clean pumps,4.2,Rajamahendravaram,Andhra Pradesh,17.002,81.776
AP079,Galaxy Fuel,Reliance,Easy access,4.1,Rajamahendravaram,Andhra Pradesh,17.0005,81.7775
AP080,Star Pump,Indian Oil,Smooth service,5,Rajamahendravaram,Andhra Pradesh,17.0015,81.7785
AP081,West Godavari Fuel,HP,Quick service,4.1,Eluru,Andhra Pradesh,16.7107,81.0952
AP082,Sai Fuel,Indian Oil,Friendly staff,4,Eluru,Andhra Pradesh,16.711,81.096
AP083,Crystal Pump,Bharat Petroleum,Clean pumps,4.2,Eluru,Andhra Pradesh,16.71,81.094
AP084,Galaxy Fuel,Reliance,Easy access,4.1,Eluru,Andhra Pradesh,16.7105,81.0955
AP085,Star Pump,Indian Oil,Smooth service,4,Eluru,Andhra Pradesh,16.7115,81.0965
AP086,Prakasam Fuel,HP,Quick & clean,4.1,Ongole,Andhra Pradesh,15.5057,80.0499
AP087,Sai Fuel,Indian Oil,Friendly staff,4,Ongole,Andhra Pradesh,15.5065,80.0505
AP088,Crystal Pump,Bharat Petroleum,Clean pumps,4.2,Ongole,Andhra Pradesh,15.505,80.0485
AP089,Galaxy Fuel,Reliance,Easy access,4.1,Ongole,Andhra Pradesh,15.506,80.049
AP090,Star Pump,Indian Oil,Smooth service,4,Ongole,Andhra Pradesh,15.5055,80.05
AP091,Nellore Fuel,HP,Quick service,4.1,Nellore,Andhra Pradesh,14.4426,79.9865
AP092,Sai Petrol,Indian Oil,Friendly staff,4,Nellore,Andhra Pradesh,14.443,79.987
AP093,Sunshine Fuel,Bharat Petroleum,Clean pumps,4.2,Nellore,Andhra Pradesh,14.444,79.988
AP094,Galaxy Petrol,Reliance,Easy access,4,Nellore,Andhra Pradesh,14.442,79.985
AP095,Royal Pump,Indian Oil,Smooth service,4.5,Nellore,Andhra Pradesh,14.441,79.9845
AP096,Chittoor Fuel,HP,Quick & clean,4.1,Chittoor,Andhra Pradesh,13.2172,79.1
AP097,Sai Petrol Pump,Indian Oil,Friendly staff,4,Chittoor,Andhra Pradesh,13.218,79.101
AP098,Galaxy Fuel,Bharat Petroleum,Clean pumps,4.2,Chittoor,Andhra Pradesh,13.2165,79.0995
AP099,Star Pump,Reliance,Easy access,4.1,Chittoor,Andhra Pradesh,13.2175,79.1005
AP100,Royal Fuel,Indian Oil,Smooth service,4,Chittoor,Andhra Pradesh,13.2185,79.1015
AP101,Vizianagaram Fuel,HP,Quick service,4.1,Vizianagaram,Andhra Pradesh,18.1137,83.3955
AP102,Sai Fuel,Indian Oil,Friendly staff,4,Vizianagaram,Andhra Pradesh,18.1145,83.396
AP103,Crystal Pump,Bharat Petroleum,Clean pumps,4.2,Vizianagaram,Andhra Pradesh,18.113,83.394
AP104,Galaxy Fuel,Reliance,Easy access,4.1,Vizianagaram,Andhra Pradesh,18.1135,83.395
AP105,Star Pump,Indian Oil,Smooth service,4,Vizianagaram,Andhra Pradesh,18.114,83.3965
AP106,Srikakulam Fuel,HP,Quick & clean,4.1,Srikakulam,Andhra Pradesh,18.2964,83.8941
AP107,Sai Fuel Station,Indian Oil,Friendly staff,4,Srikakulam,Andhra Pradesh,19.3392,83.8843
AP108,Galaxy Fuel,Bharat Petroleum,Clean pumps,5,Srikakulam,Andhra Pradesh,18.2955,83.8935
AP109,Crystal Fuel,Reliance,Easy access,4,Srikakulam,Andhra Pradesh,18.2968,83.894
AP110,Star Pump,Indian Oil,Smooth service,4.2,Srikakulam,Andhra Pradesh,18.296,83.895
AP111,East Godavari Fuel,HP,Quick service,4.1,Rajamahendravaram,Andhra Pradesh,17,81.777
AP112,Sai Fuel,Indian Oil,Friendly staff,3,Rajamahendravaram,Andhra Pradesh,17.001,81.778
AP113,Crystal Pump,Bharat Petroleum,Clean pumps,4.2,Rajamahendravaram,Andhra Pradesh,17.002,81.776
AP114,Galaxy Fuel,Reliance,Easy access,4.1,Rajamahendravaram,Andhra Pradesh,17.0005,81.7775
AP115,Star Pump,Indian Oil,Smooth service,4,Rajamahendravaram,Andhra Pradesh,17.0015,81.7785
AP116,West Godavari Fuel,HP,Quick service,4.1,Eluru,Andhra Pradesh,16.7107,81.0952
AP117,Sai Fuel,Indian Oil,Friendly staff,4,Eluru,Andhra Pradesh,16.711,81.096
AP118,Crystal Pump,Bharat Petroleum,Clean pumps,4.2,Eluru,Andhra Pradesh,16.71,81.094
AP119,Galaxy Fuel,Reliance,Easy access,4.1,Eluru,Andhra Pradesh,16.7105,81.0955
AP120,Star Pump,Indian Oil,Smooth service,4,Eluru,Andhra Pradesh,16.7115,81.0965
AP121,Prakasam Fuel,HP,Quick & clean,4.1,Ongole,Andhra Pradesh,15.5057,80.0499
AP122,Sai Fuel,Indian Oil,Friendly staff,4,Ongole,Andhra Pradesh,15.5065,80.0505
AP123,Crystal Pump,Bharat Petroleum,Clean pumps,4.2,Ongole,Andhra Pradesh,15.505,80.0485
AP124,Galaxy Fuel,Reliance,Easy access,4.1,Ongole,Andhra Pradesh,15.506,80.049
AP125,Star Pump,Indian Oil,Smooth service,4,Ongole,Andhra Pradesh,15.5055,80.05
AP126,Nellore Fuel,HP,Quick service,4.1,Nellore,Andhra Pradesh,14.4426,79.9865
AP127,Sai Petrol,Indian Oil,Friendly staff,4,Nellore,Andhra Pradesh,14.443,79.987
AP128,Sunshine Fuel,Bharat Petroleum,Clean pumps,4.2,Nellore,Andhra Pradesh,14.444,79.988
AP129,Galaxy Petrol,Reliance,Easy access,4,Nellore,Andhra Pradesh,14.442,79.985
AP130,Royal Pump,Indian Oil,Smooth service,4.1,Nellore,Andhra Pradesh,14.441,79.9845
AP131,Itanagar Fuel Center,IOCL,"Clean station, quick service",4.3,Itanagar,Arunachal Pradesh,27.1046,93.6927
AP132,Capital City Petrol Pump,BPCL,Usually crowded but efficient staff,4.1,Itanagar,Arunachal Pradesh,27.105,93.696
AP133,Himalayan Service Station,HPCL,"Good facilities, accepts UPI payments",4.5,Itanagar,Arunachal Pradesh,27.1082,93.6944
AP134,Arunachal Fuel Point,Reliance,"Spacious, less waiting time",4.4,Itanagar,Arunachal Pradesh,27.103,93.69
AP135,Green Valley Pump,Essar,"Decent place, washroom needs upgrade",3.9,Itanagar,Arunachal Pradesh,27.1062,93.6932
AP136,Naharlagun Auto Fuels,IOCL,"Convenient location, helpful staff",4.2,Naharlagun,Arunachal Pradesh,27.1031,93.7175
AP137,Highway Fuel Stop,HPCL,Good for long drives,4,Naharlagun,Arunachal Pradesh,27.1012,93.7203
AP138,Sunrise Petrol Point,BPCL,"Fast service, neat surroundings",4.3,Naharlagun,Arunachal Pradesh,27.1044,93.7151
AP139,Naharlagun Energy Hub,Reliance,"Spacious forecourt, decent restroom",4.2,Naharlagun,Arunachal Pradesh,27.1067,93.716
AP140,Valley Side Pump,Essar,Card payments available,4.1,Naharlagun,Arunachal Pradesh,27.1029,93.7191
AP141,Pasighat Fuel Depot,IOCL,"Central location, good service",4.4,Pasighat,Arunachal Pradesh,28.0667,95.3333
AP142,Siang Valley Pump,HPCL,"Scenic location, friendly staff",4.5,Pasighat,Arunachal Pradesh,28.0641,95.3305
AP143,Pasighat City Fuels,BPCL,"Quick refueling, decent facilities",4.2,Pasighat,Arunachal Pradesh,28.0689,95.3357
AP144,East Arunachal Pump,Essar,"Not too crowded, average facilities",3.8,Pasighat,Arunachal Pradesh,28.0702,95.331
AP145,Sunrise Highway Station,Reliance,Great for highway travellers,4.3,Pasighat,Arunachal Pradesh,28.065,95.3321
,,,,,,,,
AS146,Guwahati IOC Central,IndianOil,"Reliable pumps, busy evenings",4.3,Guwahati,Assam,26.1762,91.7428
AS147,Paltan Bazaar BP,Bharat Petroleum,"Short queues, fair service",4.1,Guwahati,Assam,26.172,91.749
AS148,Chandmari HP,Hindustan Petroleum,"Clean forecourt, polite staff",4.2,Guwahati,Assam,26.1835,91.7465
AS149,Beltola Reliance,Reliance,"Decent shop, quick billing",4,Guwahati,Assam,26.1695,91.7395
AS150,Khanapara NRL,NRL,"Spacious station, fast fill",4.5,Guwahati,Assam,26.1745,91.7515
AS151,Ulubari IOC,IndianOil,"24/7 service, little crowded",4.2,Guwahati,Assam,26.1735,91.745
AS152,Zoo Road BP,Bharat Petroleum,Good for night refills,4,Guwahati,Assam,26.1785,91.741
AS153,Guwahati Univ HP,Hindustan Petroleum,Student-friendly stop,4.1,Guwahati,Assam,26.18,91.75
AS154,Sixmile Reliance,Reliance,"Spacious lanes, fair prices",4.2,Guwahati,Assam,26.1705,91.743
AS155,Guwahati West NRL,NRL,"Reliable, not crowded",4.3,Guwahati,Assam,26.1755,91.7485
AS156,Silchar Main IOC,IndianOil,"Central, fast pumps",4.2,Silchar,Assam,24.8362,92.7769
AS157,Silchar Bazaar BP,Bharat Petroleum,Busy but managed well,4,Silchar,Assam,24.8295,92.7835
AS158,Kumbhirgram HP,Hindustan Petroleum,Airport route stop,4.1,Silchar,Assam,24.8405,92.7795
AS159,Bypass Reliance,Reliance,"Spacious, fair pricing",3.9,Silchar,Assam,24.8307,92.7755
AS160,Silchar Roadside NRL,NRL,Quick top-ups,4,Silchar,Assam,24.834,92.783
AS161,Tarapur IOC,IndianOil,Clean and open late,4.1,Silchar,Assam,24.833,92.7785
AS162,Sonai BP,Bharat Petroleum,Small but efficient,4,Silchar,Assam,24.8285,92.7815
AS163,Silchar North HP,Hindustan Petroleum,Friendly attendants,4.2,Silchar,Assam,24.839,92.7825
AS164,Silchar Market Reliance,Reliance,"Good pricing, limited space",3.8,Silchar,Assam,24.8315,92.777
AS165,Silchar South NRL,NRL,Spacious and clean,4.3,Silchar,Assam,24.8355,92.78
AS166,Dibrugarh IOC Town,IndianOil,"Reliable, central pumps",4.3,Dibrugarh,Assam,27.4778,94.9079
AS167,Rangagarh BP,Bharat Petroleum,Spacious for trucks,4,Dibrugarh,Assam,27.4665,94.9185
AS168,Dibrugarh Station HP,Hindustan Petroleum,"Polite staff, neat canopy",4.2,Dibrugarh,Assam,27.4745,94.9145
AS169,GNB Road Reliance,Reliance,Busy but fast lanes,3.9,Dibrugarh,Assam,27.469,94.909
AS170,Lahowal NRL,NRL,Clean wash bay,4.4,Dibrugarh,Assam,27.48,94.9135
AS171,Graham Bazar IOC,IndianOil,Fair queues,4.1,Dibrugarh,Assam,27.472,94.911
AS172,Chowkidingee BP,Bharat Petroleum,Good amenities,4,Dibrugarh,Assam,27.468,94.917
AS173,Dibrugarh East HP,Hindustan Petroleum,Reliable attendants,4.2,Dibrugarh,Assam,27.4795,94.9105
AS174,Dibrugarh Reliance,Reliance,Open till late,3.8,Dibrugarh,Assam,27.4715,94.9085
AS175,Dibrugarh North NRL,NRL,Quiet and clean,4.3,Dibrugarh,Assam,27.476,94.912
AS176,Jorhat College IOC,IndianOil,Student-friendly,4.3,Jorhat,Assam,26.7618,94.2118
AS177,A.T. Road BP,Bharat Petroleum,"Good spot, fair staff",4.1,Jorhat,Assam,26.7525,94.207
AS178,Jorhat Bypass HP,Hindustan Petroleum,Neat canopy,4,Jorhat,Assam,26.763,94.2055
AS179,Lahdoigarh Reliance,Reliance,"Decent, not crowded",3.9,Jorhat,Assam,26.755,94.215
AS180,Khumtai NRL,NRL,Spacious station,4.2,Jorhat,Assam,26.759,94.2085
AS181,Jorhat IOC West,IndianOil,Reliable,4.2,Jorhat,Assam,26.76,94.2105
AS182,Jorhat BP East,Bharat Petroleum,Quick service,4,Jorhat,Assam,26.7585,94.212
AS183,Jorhat South HP,Hindustan Petroleum,Courteous staff,4.1,Jorhat,Assam,26.762,94.209
AS184,Jorhat Reliance Market,Reliance,Small but handy,3.9,Jorhat,Assam,26.754,94.2135
AS185,Jorhat NRL Central,NRL,Spacious and clean,4.3,Jorhat,Assam,26.7615,94.2075
AS186,Tinsukia IOC Main,IndianOil,"Central, neat",4.2,Tinsukia,Assam,27.503,95.368
AS187,Tinsukia Station BP,Bharat Petroleum,Good hours,4,Tinsukia,Assam,27.4955,95.376
AS188,Tinsukia Bypass HP,Hindustan Petroleum,Clean pumps,4.1,Tinsukia,Assam,27.507,95.371
AS189,Margherita Reliance,Reliance,Handy for highway,3.9,Tinsukia,Assam,27.498,95.366
AS190,Doomdooma NRL,NRL,"Spacious, truck-friendly",4,Tinsukia,Assam,27.5012,95.3735
AS191,Tinsukia IOC North,IndianOil,Reliable stop,4.2,Tinsukia,Assam,27.4995,95.37
AS192,Tinsukia BP West,Bharat Petroleum,Efficient staff,4.1,Tinsukia,Assam,27.502,95.374
AS193,Tinsukia HP Central,Hindustan Petroleum,Quick and clean,4.1,Tinsukia,Assam,27.504,95.369
AS194,Tinsukia Reliance Town,Reliance,Fair prices,3.8,Tinsukia,Assam,27.5005,95.3675
AS195,Tinsukia NRL East,NRL,Spacious and tidy,4.3,Tinsukia,Assam,27.5035,95.3725
AS196,Tezpur NH27 IOC,IndianOil,Big forecourt,4.3,Tezpur,Assam,26.6552,92.7858
AS197,Tezpur Chowk BP,Bharat Petroleum,Busy but managed,4,Tezpur,Assam,26.6452,92.7808
AS198,Tezpur Bypass HP,Hindustan Petroleum,Clean pumps,4.1,Tezpur,Assam,26.6537,92.7823
AS199,Tezpur Market Reliance,Reliance,Helpful staff,3.9,Tezpur,Assam,26.6482,92.7878
AS200,Tezpur East NRL,NRL,Quiet and efficient,4.2,Tezpur,Assam,26.6522,92.7846
BI201,Patna Fuel Point,IndianOil,"Good service, quick fueling",4.2,Patna,Bihar,25.61,85.1414
BI202,Rajendra Nagar Pump,HP,Long queues sometimes,3.8,Patna,Bihar,25.6201,85.1502
BI203,Bailey Road Fuel Hub,BPCL,Spacious and clean,4.5,Patna,Bihar,25.6175,85.1222
BI204,Gandhi Maidan Petrol,Reliance,Card payments accepted,4.1,Patna,Bihar,25.6119,85.137
BI205,Kankarbagh Service,IndianOil,Needs better restroom facilities,3.7,Patna,Bihar,25.6065,85.1667
BI206,Secretariat Fuel Plaza,BPCL,"24/7 open, reliable",4.4,Patna,Bihar,25.615,85.1255
BI207,Gaya Main Road Pump,HP,"Quick service, polite staff",4,Gaya,Bihar,24.7969,85.0039
BI208,Bodh Gaya Fuel Station,IndianOil,"Often crowded, but reliable",3.9,Gaya,Bihar,24.6981,84.9876
BI209,Vishnupad Petrol Depot,BPCL,Decent facilities,4.3,Gaya,Bihar,24.79,85
BI210,Magadh Fuel Stop,Reliance,Good air and water availability,4.1,Gaya,Bihar,24.8055,85.0152
BI211,Tekari Road Pump,HP,Needs maintenance,3.6,Gaya,Bihar,24.78,84.98
BI212,Tilka Manjhi Pump,IndianOil,Good fuel quality,4.2,Bhagalpur,Bihar,25.25,87.0167
BI213,Bhagalpur City Station,HP,Staff could be more helpful,3.8,Bhagalpur,Bihar,25.246,87.025
BI214,Kahalgaon Fuel Center,BPCL,Great location,4,Bhagalpur,Bihar,25.265,87.085
BI215,Nathnagar Petrol Pump,Reliance,Well maintained,4.4,Bhagalpur,Bihar,25.28,87.1
BI216,Champanagar Service,IndianOil,Sometimes slow,3.7,Bhagalpur,Bihar,25.27,87.06
BI217,Muzaffarpur Main Depot,IndianOil,"Quick, reliable",4.3,Muzaffarpur,Bihar,26.12,85.39
BI218,Motijheel Fuel Station,HP,Needs restroom upgrade,3.9,Muzaffarpur,Bihar,26.1275,85.378
BI219,Bela Road Pump,BPCL,Good service,4.2,Muzaffarpur,Bihar,26.135,85.4
BI220,Sikandarpur Depot,Reliance,Staff is polite,4,Muzaffarpur,Bihar,26.14,85.41
BI221,Ahiyapur Petrol Hub,IndianOil,A bit crowded,3.8,Muzaffarpur,Bihar,26.115,85.385
BI222,Chhapra City Pump,IndianOil,Reliable,4.1,Chhapra,Bihar,25.78,84.73
BI223,Saran Fuel Depot,HP,Average service,3.7,Chhapra,Bihar,25.775,84.745
BI224,Bhikhari Thakur Pump,BPCL,Nice staff,4,Chhapra,Bihar,25.79,84.75
BI225,Rajendra Chowk Fuel,Reliance,Fast service,4.2,Chhapra,Bihar,25.785,84.74
BI226,Garkha Service Point,IndianOil,Sometimes delay,3.6,Chhapra,Bihar,25.77,84.72
BI227,Siwan City Petrol Pump,IndianOil,Quick service,4,Siwan,Bihar,26.22,84.36
BI228,Maharajganj Fuel Center,HP,Good but small,3.7,Siwan,Bihar,26.235,84.375
BI229,JP Chowk Service,BPCL,Very efficient,4.3,Siwan,Bihar,26.24,84.365
BI230,Siwan Road Depot,Reliance,Nice facilities,4.1,Siwan,Bihar,26.225,84.35
BI231,Andar Bazar Pump,IndianOil,Often crowded,3.8,Siwan,Bihar,26.215,84.34
BI232,Darbhanga City Pump,IndianOil,"Big station, clean",4.4,Darbhanga,Bihar,26.15,85.9
BI233,Laheriasarai Depot,HP,Slightly crowded,3.9,Darbhanga,Bihar,26.16,85.91
BI234,Kusheshwar Pump,BPCL,Good staff,4.2,Darbhanga,Bihar,26.155,85.905
BI235,Donar Fuel Plaza,Reliance,Excellent location,4.3,Darbhanga,Bihar,26.165,85.915
BI236,Bela Chowk Service,IndianOil,Needs maintenance,3.7,Darbhanga,Bihar,26.145,85.895
BI237,Purnea Main Fuel,IndianOil,Reliable,4.1,Purnea,Bihar,25.78,87.48
BI238,Line Bazar Pump,HP,Gets busy in evening,3.9,Purnea,Bihar,25.79,87.49
BI239,Gulabbagh Depot,BPCL,Spacious,4.2,Purnea,Bihar,25.77,87.47
BI240,Purnea Court Fuel,Reliance,Good staff,4,Purnea,Bihar,25.785,87.475
BI241,Rambagh Service,IndianOil,Small outlet,3.8,Purnea,Bihar,25.775,87.46
BI242,Katihar City Pump,IndianOil,Busy but reliable,4,Katihar,Bihar,25.55,87.58
BI243,Manihari Fuel Station,HP,Small but clean,3.8,Katihar,Bihar,25.545,87.59
BI244,Kursela Depot,BPCL,Well located,4.2,Katihar,Bihar,25.56,87.6
BI245,Katihar Court Fuel,Reliance,Good services,4.1,Katihar,Bihar,25.57,87.585
BI246,Mirchaibari Pump,IndianOil,Needs more staff,3.7,Katihar,Bihar,25.565,87.595
BI247,Munger City Pump,IndianOil,Good service,4.1,Munger,Bihar,25.38,86.47
BI248,Jamalpur Depot,HP,Busy area,3.9,Munger,Bihar,25.375,86.48
BI249,Kasim Bazar Fuel,BPCL,Spacious,4.3,Munger,Bihar,25.385,86.46
BI250,Bariarpur Service,Reliance,Nice location,4,Munger,Bihar,25.37,86.45
BI251,Munger Road Pump,IndianOil,Average facilities,3.6,Munger,Bihar,25.365,86.465
BI252,Ara City Fuel Station,IndianOil,Good services,4.2,Ara,Bihar,25.56,84.67
BI253,Koilwar Pump,HP,Old but functional,3.8,Ara,Bihar,25.565,84.68
BI254,Jagdishpur Depot,BPCL,Reliable,4.1,Ara,Bihar,25.575,84.665
BI255,Bhojpur Fuel Plaza,Reliance,Polite staff,4,Ara,Bihar,25.585,84.675
BI256,Ara Road Service,IndianOil,Crowded at peak times,3.7,Ara,Bihar,25.57,84.66
BI257,Samastipur City Pump,IndianOil,Good service,4.1,Samastipur,Bihar,25.86,85.78
BI258,Tajpur Road Depot,HP,Sometimes busy,3.9,Samastipur,Bihar,25.865,85.77
BI259,Patori Fuel,BPCL,Decent facilities,4,Samastipur,Bihar,25.85,85.765
BI260,Dalsingsarai Station,Reliance,Convenient location,4.2,Samastipur,Bihar,25.87,85.775
BI261,Bibhutipur Pump,IndianOil,Average,3.6,Samastipur,Bihar,25.855,85.76
